drug,median_log1p_mag,mean_log1p_mag,std_log1p_mag,n_comparisons,rank,moa
Dexamethasone,1.1857871,1.2115425,0.47408155,142,253,Glucocorticoid receptor agonist
Monocrotaline,1.1823647,1.1937999,0.38150373,142,254,unclear
Imiquimod (maleate),1.1819229,1.1382114,0.34517992,140,255,unclear
Temsirolimus,1.1800078,1.1938713,0.41456813,191,256,MTOR inhibitor
IQ 1,1.1777127,1.2245167,0.48904637,141,257,unclear
Rapamycin,1.1738241,1.2246814,0.46257526,192,258,MTOR inhibitor
Apalutamide,1.1732098,1.1815689,0.38624445,142,259,Androgen receptor antagonist
Isocorydine,1.1725165,1.1506622,0.4417532,191,260,unclear
Thymopentin,1.1686741,1.2709695,0.5702131,141,261,unclear
Pentagastrin,1.1685395,1.2256087,0.48191068,192,262,unclear
Meloxicam,1.1663625,1.147036,0.51833105,144,263,Cyclooxygenase inhibitor
Menadione,1.1558754,1.2001764,0.41006336,141,264,unclear
Ribociclib,1.155345,1.0981927,0.40891623,48,265,CDK inhibitor
Auranofin,1.1547933,1.6616939,0.98149765,143,266,unclear
Niclosamide (olamine),1.1494278,1.2897446,0.6670587,142,267,unclear
Acetazolamide,1.1491535,1.170803,0.32836893,144,268,unclear
Econazole,1.148891,1.1641402,0.41075072,144,269,unclear
Alpelisib,1.146665,1.2231653,0.5043534,142,270,PI3K/AKT inhibitor
Olanzapine,1.1464074,1.1083626,0.39391828,192,271,unclear
Riluzole hydrochloride,1.1460428,1.1494492,0.37394366,192,272,unclear
Daidzin,1.1421506,1.1171347,0.45392126,192,273,unclear
Balsalazide (sodium hydrate),1.1409707,1.1723711,0.3406789,192,274,JAK/STAT inhibitor
Allopurinol,1.1405759,1.1564473,0.37241322,144,275,unclear
Volasertib,1.139858,1.1889731,0.44669434,142,276,unclear
Clotrimazole,1.1385958,1.1851075,0.39618233,192,277,unclear
LY2090314,1.1372397,1.1506128,0.36394656,144,278,GSK3 inhibitor
Docetaxel (Trihydrate),1.1363015,1.4194206,0.7238361,142,279,Microtubule inhibitor
Loperamide (hydrochloride),1.1280757,1.1581359,0.42055997,144,280,unclear
Allantoin,1.1273643,1.1705388,0.41552213,192,281,unclear
Canagliflozin,1.1270962,1.1961508,0.36684957,141,282,Glucose transporter inhibitor
Daptomycin,1.122341,1.1663142,0.36174634,48,283,unclear
Pentoxifylline,1.1222701,1.1280452,0.4131766,144,284,unclear
Pimozide,1.1219037,1.2056967,0.48059002,140,285,unclear
Goserelin (acetate),1.1216743,1.1255589,0.36347786,192,286,unclear
Vortioxetine,1.1174834,1.1407976,0.35766137,143,287,unclear
NVP-BHG712,1.1156472,1.3717808,0.6816105,142,288,unclear
Tofacitinib (citrate),1.114604,1.1942238,0.48093817,192,289,JAK/STAT inhibitor
Ivabradine (hydrochloride),1.1130021,1.0962683,0.39593482,48,290,unclear
Tolcapone,1.1118441,1.0857877,0.34857315,192,291,unclear
Terfenadine,1.1094817,1.145112,0.41488606,237,292,unclear
Lucanthone,1.1005114,1.3328786,0.69404316,144,293,unclear
5-Azacytidine,1.100283,1.113526,0.35209075,142,294,DNA methyltransferase inhibitor
Folic acid,1.0984458,1.0739247,0.39624226,191,295,unclear
