drug,plate,cell_line,magnitude,log1p_magnitude
Canagliflozin (hemihydrate),10,AsPC-1,3.7319505,1.5543375
Captopril,10,AsPC-1,1.7437167,1.0093135
Carbamazepine,10,AsPC-1,1.5170362,0.9230821
Cinacalcet,10,AsPC-1,1.3641683,0.8604263
Citalopram (hydrobromide),10,AsPC-1,7.418121,2.1303866
Clobetasol propionate,10,AsPC-1,14.210692,2.7219987
Clopidogrel,10,AsPC-1,1.561889,0.9407449
Crizotinib (hydrochloride),10,AsPC-1,1.7345006,1.0059488
Cyclosporin A,10,AsPC-1,1.297299,0.83173406
Dapagliflozin,10,AsPC-1,1.29807,0.83206964
Darolutamide,10,AsPC-1,3.897011,1.5886251
Delamanid,10,AsPC-1,3.1778183,1.4297892
Dexamethasone,10,AsPC-1,2.498839,1.2524312
Digitoxin,10,AsPC-1,3.6609735,1.5392244
Dihydroartemisinin,10,AsPC-1,1.6111444,0.95978856
Drospirenone,10,AsPC-1,0.886882,0.6349257
Econazole,10,AsPC-1,2.6504982,1.2948637
Entrectinib,10,AsPC-1,2.053517,1.1162941
Erythromycin,10,AsPC-1,1.9086931,1.0677038
Esmolol (hydrochloride),10,AsPC-1,2.2469277,1.1777092
Estrone sulfate (potassium),10,AsPC-1,3.1673577,1.4272822
Fedratinib (hydrochloride hydrate),10,AsPC-1,1.5016432,0.9169478
Filgotinib,10,AsPC-1,2.12044,1.137974
Fingolimod (hydrochloride),10,AsPC-1,2.7839057,1.3307568
Flutamide,10,AsPC-1,2.8839135,1.3568432
Fulvestrant,10,AsPC-1,1.8441699,1.0452712
Gefitinib,10,AsPC-1,1.8599946,1.0508198
Idoxuridine,10,AsPC-1,3.6147404,1.5292556
Imiquimod (hydrochloride),10,AsPC-1,2.323662,1.2010672
Indacaterol (maleate),10,AsPC-1,1.5196506,0.92412025
Ivermectin,10,AsPC-1,1.0439973,0.71490735
Ixazomib citrate,10,AsPC-1,1.2164032,0.79588574
L-Eflornithine (monohydrochloride),10,AsPC-1,2.670105,1.3002203
Lactate (calcium),10,AsPC-1,8.158517,2.2146842
Loperamide (hydrochloride),10,AsPC-1,4.025615,1.6145478
Lopinavir,10,AsPC-1,3.0207298,1.3914634
Malotilate,10,AsPC-1,4.885432,1.7724801
Meloxicam,10,AsPC-1,7.5786834,2.1492805
Methotrexate,10,AsPC-1,3.383869,1.4779316
Methyl aminolevulinate (hydrochloride),10,AsPC-1,1.6804252,0.9859754
Methylthiouracil,10,AsPC-1,1.6585,0.97776204
Nafamostat (mesylate),10,AsPC-1,2.9672375,1.37807
Neratinib,10,AsPC-1,4.488666,1.7026852
Omeprazole,10,AsPC-1,1.5928218,0.9527468
Omeprazole (sodium),10,AsPC-1,1.2104256,0.7931851
Osimertinib (mesylate),10,AsPC-1,1.8180895,1.0360591
Ouabain (Octahydrate),10,AsPC-1,2.3060489,1.1957538
Oxaprozin,10,AsPC-1,3.1567414,1.4247315
Panobinostat,10,AsPC-1,19.493902,3.0201273
Pentoxifylline,10,AsPC-1,3.686512,1.5446886
Perindopril (erbumine),10,AsPC-1,0.8145885,0.5958587
Phenylephrine (hydrochloride),10,AsPC-1,1.8510386,1.0476834
Pimozide,10,AsPC-1,1.4502332,0.8961832
Pioglitazone,10,AsPC-1,1.3465985,0.85296685
Piroxicam,10,AsPC-1,3.0568366,1.4004035
Ponatinib,10,AsPC-1,2.1243238,1.1392179
Proglumide,10,AsPC-1,1.696625,0.992001
Ranolazine,10,AsPC-1,1.8475062,1.0464436
Sunitinib,10,AsPC-1,2.093633,1.1293461
Talc,10,AsPC-1,2.1345384,1.1424819
Tazarotene,10,AsPC-1,6.4831963,2.01266
Tirabrutinib (hydrochloride),10,AsPC-1,4.360033,1.6789701
Trametinib,10,AsPC-1,6.601208,2.0283072
Uridine,10,AsPC-1,1.5751731,0.9459168
Valdecoxib,10,AsPC-1,1.1364413,0.7591415
Vandetanib,10,AsPC-1,2.8326602,1.3435591
Vismodegib,10,AsPC-1,0.9486194,0.6671211
Vitamin K4,10,AsPC-1,10.322141,2.4267602
Voriconazole,10,AsPC-1,2.1188736,1.1374719
Vortioxetine,10,AsPC-1,2.8927426,1.3591139
Zileuton,10,AsPC-1,1.3284066,0.84518415
γ-Oryzanol,10,AsPC-1,4.51913,1.7082202
5-Azacytidine,10,BT-474,1.6069255,0.95817155
5-Fluorouracil,10,BT-474,2.8743002,1.3543651
Abiraterone acetate,10,BT-474,2.014918,1.1035726
Acetazolamide,10,BT-474,0.9735317,0.6798247
Adagrasib,10,BT-474,1.2652836,0.81769997
Allopurinol,10,BT-474,1.2474837,0.80981123
Aprepitant,10,BT-474,2.8833203,1.3566905
Artemether,10,BT-474,3.7394004,1.5559106
Asciminib,10,BT-474,2.8735383,1.3541684
Aspirin,10,BT-474,1.3115592,0.8379223
Ataluren,10,BT-474,2.7025518,1.3090223
Atazanavir (sulfate),10,BT-474,2.3456645,1.2076653
Auranofin,10,BT-474,1.4378899,0.8911329
Belinostat,10,BT-474,1.7546071,1.0132748
Benztropine (mesylate),10,BT-474,0.75408477,0.5619472
Bestatin (hydrochloride),10,BT-474,6.158009,1.9682319
Bexarotene,10,BT-474,1.5617917,0.94070685
Bicalutamide,10,BT-474,0.9360871,0.66066897
Binimetinib,10,BT-474,2.3636153,1.2130164
Brimonidine,10,BT-474,1.7346517,1.0060041
Budesonide,10,BT-474,7.779905,2.1724656
Cabozantinib (S-malate),10,BT-474,3.3797708,1.4769964
Canagliflozin (hemihydrate),10,BT-474,4.485714,1.7021472
Captopril,10,BT-474,1.9017909,1.0653281
Carbamazepine,10,BT-474,1.059173,0.72230446
Cinacalcet,10,BT-474,0.6326616,0.49021155
Citalopram (hydrobromide),10,BT-474,3.2169461,1.4391112
Clobetasol propionate,10,BT-474,8.036878,2.2013137
Clopidogrel,10,BT-474,1.0419581,0.7139092
Crizotinib (hydrochloride),10,BT-474,0.8982922,0.6409546
Cyclosporin A,10,BT-474,1.8532786,1.0484687
Dapagliflozin,10,BT-474,0.5900915,0.46379158
Darolutamide,10,BT-474,3.3350594,1.4667354
Delamanid,10,BT-474,4.404687,1.6872666
Dexamethasone,10,BT-474,0.69308084,0.5265498
Digitoxin,10,BT-474,2.5351968,1.262769
Dihydroartemisinin,10,BT-474,0.57490826,0.45419702
Drospirenone,10,BT-474,1.265088,0.8176136
Econazole,10,BT-474,1.4019316,0.8762733
Entrectinib,10,BT-474,1.1530515,0.7668861
Erythromycin,10,BT-474,0.7284839,0.54724467
Esmolol (hydrochloride),10,BT-474,2.0094535,1.1017585
Estrone sulfate (potassium),10,BT-474,4.001876,1.609813
Fedratinib (hydrochloride hydrate),10,BT-474,2.4657328,1.2429241
Filgotinib,10,BT-474,1.5237976,0.9257648
Fingolimod (hydrochloride),10,BT-474,2.502331,1.2534287
Flutamide,10,BT-474,1.4203583,0.8839156
Fulvestrant,10,BT-474,1.3539563,0.85609746
Gefitinib,10,BT-474,2.1777701,1.1561798
Idoxuridine,10,BT-474,4.2233872,1.653146
Imiquimod (hydrochloride),10,BT-474,2.7871351,1.3316098
Indacaterol (maleate),10,BT-474,0.97964716,0.6829186
Ivermectin,10,BT-474,1.1753243,0.77717775
Ixazomib citrate,10,BT-474,0.71001256,0.5365007
L-Eflornithine (monohydrochloride),10,BT-474,2.115792,1.1364834
Lactate (calcium),10,BT-474,2.852838,1.3488101
Loperamide (hydrochloride),10,BT-474,3.376118,1.476162
Lopinavir,10,BT-474,2.5100493,1.2556301
Malotilate,10,BT-474,6.4704547,2.0109558
Meloxicam,10,BT-474,3.6092918,1.5280743
Methotrexate,10,BT-474,1.164241,0.7720697
Methyl aminolevulinate (hydrochloride),10,BT-474,2.5230913,1.2593389
Methylthiouracil,10,BT-474,0.7135147,0.5385466
Nafamostat (mesylate),10,BT-474,0.6546436,0.50358564
Neratinib,10,BT-474,6.453666,2.008706
Omeprazole,10,BT-474,0.6152939,0.47951692
Omeprazole (sodium),10,BT-474,2.5662687,1.2715199
Osimertinib (mesylate),10,BT-474,2.02161,1.1057898
Ouabain (Octahydrate),10,BT-474,2.989422,1.3836464
Oxaprozin,10,BT-474,3.972494,1.6039215
Panobinostat,10,BT-474,6.9423156,2.0722048
Pentoxifylline,10,BT-474,2.948287,1.3732818
Perindopril (erbumine),10,BT-474,0.5754809,0.45456055
Phenylephrine (hydrochloride),10,BT-474,1.9241467,1.0730027
Pimozide,10,BT-474,0.8347288,0.60689664
Pioglitazone,10,BT-474,1.5464541,0.9347018
Piroxicam,10,BT-474,3.1774707,1.429706
Ponatinib,10,BT-474,1.8653901,1.0527045
Proglumide,10,BT-474,1.411568,0.88027716
Ranolazine,10,BT-474,1.6325524,0.96795386
Sunitinib,10,BT-474,0.90413356,0.64402705
Talc,10,BT-474,1.135482,0.7586924
Tazarotene,10,BT-474,3.5264506,1.5099381
Tirabrutinib (hydrochloride),10,BT-474,1.6513854,0.9750823
Trametinib,10,BT-474,3.2472246,1.4462657
Uridine,10,BT-474,0.49997535,0.40544868
Valdecoxib,10,BT-474,1.2896231,0.82838726
Vandetanib,10,BT-474,3.836751,1.5762432
Vismodegib,10,BT-474,1.0385433,0.7122355
Vitamin K4,10,BT-474,6.5280204,2.0186322
Voriconazole,10,BT-474,1.295859,0.831107
Vortioxetine,10,BT-474,2.9402027,1.3712322
Zileuton,10,BT-474,1.011693,0.69897664
γ-Oryzanol,10,BT-474,3.3580043,1.4720142
5-Azacytidine,10,C-33 A,1.4149843,0.88169277
5-Fluorouracil,10,C-33 A,3.1325881,1.4189038
Abiraterone acetate,10,C-33 A,4.5699153,1.7173798
Acetazolamide,10,C-33 A,1.8492345,1.0470504
Adagrasib,10,C-33 A,0.8336018,0.60628223
Allopurinol,10,C-33 A,1.9764322,1.0907253
Aprepitant,10,C-33 A,1.8214624,1.0372553
Artemether,10,C-33 A,2.2357614,1.1742643
Asciminib,10,C-33 A,4.4513206,1.6958579
Aspirin,10,C-33 A,1.873373,1.0554867
Ataluren,10,C-33 A,3.0585542,1.4008268
Atazanavir (sulfate),10,C-33 A,3.9734085,1.6041055
Auranofin,10,C-33 A,3.344988,1.469023
Belinostat,10,C-33 A,3.6776562,1.5427972
Benztropine (mesylate),10,C-33 A,4.0139008,1.6122142
Bestatin (hydrochloride),10,C-33 A,6.1510024,1.9672525
Bexarotene,10,C-33 A,2.0154977,1.1037649
Bicalutamide,10,C-33 A,3.082575,1.4067279
Binimetinib,10,C-33 A,2.3615882,1.2124135
Brimonidine,10,C-33 A,3.3649154,1.4735988
Budesonide,10,C-33 A,6.691397,2.0401025
Cabozantinib (S-malate),10,C-33 A,4.5858283,1.7202327
Canagliflozin (hemihydrate),10,C-33 A,5.2066035,1.8256137
Captopril,10,C-33 A,1.1072383,0.74537826
Carbamazepine,10,C-33 A,0.8888658,0.63597655
Cinacalcet,10,C-33 A,1.5954286,0.9537517
Citalopram (hydrobromide),10,C-33 A,3.5724986,1.5200598
Clobetasol propionate,10,C-33 A,5.823914,1.9204333
Clopidogrel,10,C-33 A,1.7567493,1.0140522
Crizotinib (hydrochloride),10,C-33 A,1.6063995,0.9579698
Cyclosporin A,10,C-33 A,1.9583606,1.0846353
Dapagliflozin,10,C-33 A,0.7620675,0.56648785
Darolutamide,10,C-33 A,3.5584126,1.5169744
Delamanid,10,C-33 A,2.4796188,1.2469227
Dexamethasone,10,C-33 A,1.0057129,0.69599956
Digitoxin,10,C-33 A,4.5722017,1.7177902
Dihydroartemisinin,10,C-33 A,0.7256761,0.5456189
Drospirenone,10,C-33 A,1.1578559,0.7691151
Econazole,10,C-33 A,2.7892003,1.332155
Entrectinib,10,C-33 A,1.5394336,0.93194103
Erythromycin,10,C-33 A,1.3510907,0.8548793
Esmolol (hydrochloride),10,C-33 A,3.265604,1.4505838
Estrone sulfate (potassium),10,C-33 A,4.4119105,1.6886022
Fedratinib (hydrochloride hydrate),10,C-33 A,1.2724715,0.820868
Filgotinib,10,C-33 A,0.66433114,0.5094233
Fingolimod (hydrochloride),10,C-33 A,2.015917,1.103904
Flutamide,10,C-33 A,1.2192158,0.7971539
Fulvestrant,10,C-33 A,2.0924375,1.1289597
Gefitinib,10,C-33 A,1.6944267,0.9911854
Idoxuridine,10,C-33 A,5.8034744,1.9174334
Imiquimod (hydrochloride),10,C-33 A,2.2458913,1.17739
Indacaterol (maleate),10,C-33 A,1.7322358,1.0051203
Ivermectin,10,C-33 A,1.06052,0.7229584
Ixazomib citrate,10,C-33 A,1.179478,0.7790854
L-Eflornithine (monohydrochloride),10,C-33 A,5.0798717,1.8049836
Lactate (calcium),10,C-33 A,4.037679,1.6169455
Loperamide (hydrochloride),10,C-33 A,2.5040157,1.2539096
Lopinavir,10,C-33 A,2.4806879,1.2472299
Malotilate,10,C-33 A,6.914364,2.0686793
Meloxicam,10,C-33 A,4.9316454,1.7803016
Methotrexate,10,C-33 A,2.5412529,1.2644806
Methyl aminolevulinate (hydrochloride),10,C-33 A,1.8929502,1.0622768
Methylthiouracil,10,C-33 A,1.2180791,0.7966415
Nafamostat (mesylate),10,C-33 A,2.6672785,1.2994498
Neratinib,10,C-33 A,3.2973053,1.4579881
Omeprazole,10,C-33 A,1.0708916,0.72797924
Omeprazole (sodium),10,C-33 A,1.7354181,1.0062842
Osimertinib (mesylate),10,C-33 A,1.154247,0.7674413
Ouabain (Octahydrate),10,C-33 A,4.3567543,1.6783583
Oxaprozin,10,C-33 A,3.2690635,1.4513944
Panobinostat,10,C-33 A,10.85026,2.47235
Pentoxifylline,10,C-33 A,4.067128,1.6227742
Perindopril (erbumine),10,C-33 A,0.7239106,0.54459536
Phenylephrine (hydrochloride),10,C-33 A,1.2563766,0.8137603
Pimozide,10,C-33 A,2.9309783,1.3688884
Pioglitazone,10,C-33 A,1.462333,0.9011093
Piroxicam,10,C-33 A,3.3550847,1.471344
Ponatinib,10,C-33 A,1.1077597,0.7456256
Proglumide,10,C-33 A,1.131096,0.7566364
Ranolazine,10,C-33 A,1.6047206,0.9573254
Sunitinib,10,C-33 A,0.9532899,0.6695151
Talc,10,C-33 A,1.7947204,1.0277321
Tazarotene,10,C-33 A,5.384128,1.853815
Tirabrutinib (hydrochloride),10,C-33 A,2.7389443,1.3188033
Trametinib,10,C-33 A,3.6692631,1.5410013
Uridine,10,C-33 A,1.5236584,0.9257096
Valdecoxib,10,C-33 A,1.4767164,0.90693367
Vandetanib,10,C-33 A,3.184235,1.4313239
Vismodegib,10,C-33 A,2.290235,1.190959
Vitamin K4,10,C-33 A,8.025291,2.2000308
Voriconazole,10,C-33 A,1.5866605,0.9503677
Vortioxetine,10,C-33 A,1.4018505,0.8762395
Zileuton,10,C-33 A,1.3832685,0.8684729
γ-Oryzanol,10,C-33 A,3.206062,1.4365268
5-Azacytidine,10,C32,1.2068956,0.7915868
5-Fluorouracil,10,C32,1.1373976,0.759589
Abiraterone acetate,10,C32,3.1175847,1.4152668
Acetazolamide,10,C32,4.0933585,1.6279374
Adagrasib,10,C32,0.8377332,0.60853285
Allopurinol,10,C32,3.5022554,1.5045785
Aprepitant,10,C32,3.5411046,1.5131702
Artemether,10,C32,1.42718,0.8867301
Asciminib,10,C32,5.474255,1.8678336
Aspirin,10,C32,1.1263467,0.7544053
Ataluren,10,C32,1.2545189,0.8129366
Atazanavir (sulfate),10,C32,1.3914477,0.8718989
Auranofin,10,C32,2.2956529,1.1926043
Belinostat,10,C32,1.4232042,0.8850907
Benztropine (mesylate),10,C32,2.7083688,1.310592
Bestatin (hydrochloride),10,C32,5.707138,1.9031724
Bexarotene,10,C32,1.5439664,0.9337244
Bicalutamide,10,C32,2.9062524,1.3625784
Binimetinib,10,C32,2.8930573,1.3591948
Brimonidine,10,C32,1.2562069,0.81368506
Budesonide,10,C32,5.942453,1.9376552
Cabozantinib (S-malate),10,C32,4.2799683,1.66392
Canagliflozin (hemihydrate),10,C32,2.7459064,1.3206636
Captopril,10,C32,2.0259862,1.1072371
Carbamazepine,10,C32,1.6687561,0.9816125
Cinacalcet,10,C32,2.120447,1.1379762
Citalopram (hydrobromide),10,C32,2.485232,1.2485347
Clobetasol propionate,10,C32,7.8410683,2.1794076
Clopidogrel,10,C32,3.1676397,1.4273498
Crizotinib (hydrochloride),10,C32,2.0759144,1.1236022
Cyclosporin A,10,C32,3.1004865,1.4111056
Dapagliflozin,10,C32,0.6294855,0.48826432
Darolutamide,10,C32,2.0724828,1.122486
Delamanid,10,C32,4.3885193,1.6842706
Dexamethasone,10,C32,0.937681,0.66149193
Digitoxin,10,C32,1.2372901,0.80526537
Dihydroartemisinin,10,C32,0.8703904,0.6261472
Drospirenone,10,C32,1.0874943,0.7359644
Econazole,10,C32,1.5073539,0.91922796
Entrectinib,10,C32,2.8747022,1.3544688
Erythromycin,10,C32,1.5123451,0.9212166
Esmolol (hydrochloride),10,C32,1.2655779,0.81782985
Estrone sulfate (potassium),10,C32,2.4941854,1.2511003
Fedratinib (hydrochloride hydrate),10,C32,1.892509,1.0621243
Filgotinib,10,C32,0.802585,0.5892217
Fingolimod (hydrochloride),10,C32,3.2822275,1.4544734
Flutamide,10,C32,3.9282382,1.5949816
Fulvestrant,10,C32,3.1035142,1.4118438
Gefitinib,10,C32,1.1306751,0.75643885
Idoxuridine,10,C32,2.5979877,1.2803748
Imiquimod (hydrochloride),10,C32,4.5580425,1.715246
Indacaterol (maleate),10,C32,4.712869,1.7427213
Ivermectin,10,C32,2.2760506,1.1866386
Ixazomib citrate,10,C32,0.96178764,0.67385614
L-Eflornithine (monohydrochloride),10,C32,1.9741391,1.0899546
Lactate (calcium),10,C32,4.5779037,1.7188131
Loperamide (hydrochloride),10,C32,1.6417785,0.97145236
Lopinavir,10,C32,3.537048,1.5122766
Malotilate,10,C32,3.3632433,1.4732157
Meloxicam,10,C32,2.5563288,1.2687287
Methotrexate,10,C32,2.7897313,1.3322951
Methyl aminolevulinate (hydrochloride),10,C32,3.865073,1.5820817
Methylthiouracil,10,C32,0.6271406,0.4868242
Nafamostat (mesylate),10,C32,1.542619,0.93319464
Neratinib,10,C32,2.7721667,1.3276496
Omeprazole,10,C32,0.47628942,0.3895318
Omeprazole (sodium),10,C32,2.673182,1.3010583
Osimertinib (mesylate),10,C32,3.0088146,1.3884956
Ouabain (Octahydrate),10,C32,5.0125117,1.7938426
Oxaprozin,10,C32,1.5909709,0.9520327
Panobinostat,10,C32,13.813221,2.6955202
Pentoxifylline,10,C32,2.6555917,1.296258
Perindopril (erbumine),10,C32,1.1073012,0.7454081
Phenylephrine (hydrochloride),10,C32,2.3329237,1.2038499
Pimozide,10,C32,1.3562012,0.85705066
Pioglitazone,10,C32,3.2203612,1.4399207
Piroxicam,10,C32,6.4608107,2.009664
Ponatinib,10,C32,3.0403671,1.3963356
Proglumide,10,C32,1.5863165,0.95023465
Ranolazine,10,C32,1.4476285,0.8951196
Sunitinib,10,C32,2.8425279,1.3461305
Talc,10,C32,3.8344738,1.5757723
Tazarotene,10,C32,2.8062093,1.3366338
Tirabrutinib (hydrochloride),10,C32,1.7395095,1.0077789
Trametinib,10,C32,1.719029,1.0002748
Uridine,10,C32,0.67725307,0.5171574
Valdecoxib,10,C32,1.239732,0.80635625
Vandetanib,10,C32,1.833887,1.0416492
Vismodegib,10,C32,1.2285343,0.80134416
Vitamin K4,10,C32,6.8735013,2.0635028
Voriconazole,10,C32,3.81633,1.5720122
Vortioxetine,10,C32,3.6042647,1.526983
Zileuton,10,C32,2.1180773,1.1372166
γ-Oryzanol,10,C32,2.2767985,1.1868669
5-Azacytidine,10,CFPAC-1,1.9815214,1.0924337
5-Fluorouracil,10,CFPAC-1,2.426523,1.231546
Abiraterone acetate,10,CFPAC-1,8.546396,2.2561638
Acetazolamide,10,CFPAC-1,2.352263,1.2096356
Adagrasib,10,CFPAC-1,0.9646783,0.6753285
Allopurinol,10,CFPAC-1,1.1170688,0.7500325
Aprepitant,10,CFPAC-1,2.6695216,1.3000613
Artemether,10,CFPAC-1,2.9978504,1.3857569
Asciminib,10,CFPAC-1,4.5941324,1.7217183
Aspirin,10,CFPAC-1,1.3234979,0.8430737
Ataluren,10,CFPAC-1,2.0973058,1.1305326
Atazanavir (sulfate),10,CFPAC-1,1.0919724,0.7381073
Auranofin,10,CFPAC-1,1.1909268,0.78432465
Belinostat,10,CFPAC-1,5.3302565,1.8453407
Benztropine (mesylate),10,CFPAC-1,6.009634,1.9472855
Bestatin (hydrochloride),10,CFPAC-1,9.815773,2.3810055
Bexarotene,10,CFPAC-1,1.8473021,1.0463719
Bicalutamide,10,CFPAC-1,1.0145755,0.7004085
Binimetinib,10,CFPAC-1,9.639094,2.3645353
Brimonidine,10,CFPAC-1,2.7277896,1.3158154
Budesonide,10,CFPAC-1,8.962354,2.2988133
Cabozantinib (S-malate),10,CFPAC-1,5.2683616,1.835515
Canagliflozin (hemihydrate),10,CFPAC-1,4.2594066,1.6600182
Captopril,10,CFPAC-1,1.6525394,0.97551745
Carbamazepine,10,CFPAC-1,0.8809942,0.6318005
Cinacalcet,10,CFPAC-1,1.2482612,0.8101571
Citalopram (hydrobromide),10,CFPAC-1,9.642301,2.3648367
Clobetasol propionate,10,CFPAC-1,15.661181,2.8130815
Clopidogrel,10,CFPAC-1,1.8705387,1.0544997
Crizotinib (hydrochloride),10,CFPAC-1,1.433355,0.88927096
Cyclosporin A,10,CFPAC-1,0.93434036,0.6597664
Dapagliflozin,10,CFPAC-1,2.4917312,1.2503977
Darolutamide,10,CFPAC-1,2.8982732,1.3605337
Delamanid,10,CFPAC-1,3.8176756,1.5722916
Dexamethasone,10,CFPAC-1,6.3937263,2.0006318
Digitoxin,10,CFPAC-1,1.9019123,1.06537
Dihydroartemisinin,10,CFPAC-1,1.8161037,1.0353543
Drospirenone,10,CFPAC-1,2.5160372,1.2573346
Econazole,10,CFPAC-1,2.6102664,1.2837815
Entrectinib,10,CFPAC-1,3.4551988,1.4940717
Erythromycin,10,CFPAC-1,1.8624978,1.0516946
Esmolol (hydrochloride),10,CFPAC-1,2.6654968,1.2989639
Estrone sulfate (potassium),10,CFPAC-1,2.6818163,1.3034062
Fedratinib (hydrochloride hydrate),10,CFPAC-1,1.4497554,0.8959882
Filgotinib,10,CFPAC-1,0.9350874,0.6601525
Fingolimod (hydrochloride),10,CFPAC-1,1.5353009,0.9303123
Flutamide,10,CFPAC-1,1.4475701,0.8950957
Fulvestrant,10,CFPAC-1,2.4976115,1.2520803
Gefitinib,10,CFPAC-1,3.180226,1.4303653
Idoxuridine,10,CFPAC-1,3.3078516,1.4604393
Imiquimod (hydrochloride),10,CFPAC-1,1.6985251,0.99270535
Indacaterol (maleate),10,CFPAC-1,3.075505,1.4049947
Ivermectin,10,CFPAC-1,1.0991043,0.74151075
Ixazomib citrate,10,CFPAC-1,1.2305173,0.8022335
L-Eflornithine (monohydrochloride),10,CFPAC-1,2.4684415,1.2437054
Lactate (calcium),10,CFPAC-1,10.175986,2.4137673
Loperamide (hydrochloride),10,CFPAC-1,1.6024835,0.9564662
Lopinavir,10,CFPAC-1,3.0972238,1.4103096
Malotilate,10,CFPAC-1,5.5826797,1.8844419
Meloxicam,10,CFPAC-1,7.2028475,2.1044815
Methotrexate,10,CFPAC-1,2.946362,1.3727942
Methyl aminolevulinate (hydrochloride),10,CFPAC-1,1.7592806,1.01497
Methylthiouracil,10,CFPAC-1,2.1943822,1.1613936
Nafamostat (mesylate),10,CFPAC-1,1.1898879,0.7838504
Neratinib,10,CFPAC-1,4.1610985,1.6411494
Omeprazole,10,CFPAC-1,2.2933404,1.1919024
Omeprazole (sodium),10,CFPAC-1,1.3020492,0.83379966
Osimertinib (mesylate),10,CFPAC-1,1.2350935,0.804283
Ouabain (Octahydrate),10,CFPAC-1,1.0968049,0.7404147
Oxaprozin,10,CFPAC-1,1.637132,0.969692
Panobinostat,10,CFPAC-1,21.82302,3.1277697
Pentoxifylline,10,CFPAC-1,2.4224331,1.2303517
Perindopril (erbumine),10,CFPAC-1,2.7068725,1.3101885
Phenylephrine (hydrochloride),10,CFPAC-1,1.5489439,0.9356791
Pimozide,10,CFPAC-1,1.1197599,0.75130284
Pioglitazone,10,CFPAC-1,1.0624115,0.72387594
Piroxicam,10,CFPAC-1,4.355704,1.6781621
Ponatinib,10,CFPAC-1,2.9853504,1.3826252
Proglumide,10,CFPAC-1,0.7989114,0.5871817
Ranolazine,10,CFPAC-1,2.2878,1.1902187
Sunitinib,10,CFPAC-1,1.4278193,0.8869934
Talc,10,CFPAC-1,2.3756204,1.2165791
Tazarotene,10,CFPAC-1,3.222351,1.4403921
Tirabrutinib (hydrochloride),10,CFPAC-1,2.188373,1.1595107
Trametinib,10,CFPAC-1,3.6994987,1.5474558
Uridine,10,CFPAC-1,2.8539531,1.3490994
Valdecoxib,10,CFPAC-1,0.69968796,0.5304447
Vandetanib,10,CFPAC-1,2.141833,1.1448064
Vismodegib,10,CFPAC-1,1.7588036,1.0147971
Vitamin K4,10,CFPAC-1,9.566134,2.357654
Voriconazole,10,CFPAC-1,1.3452804,0.85240495
Vortioxetine,10,CFPAC-1,2.2382996,1.1750484
Zileuton,10,CFPAC-1,1.8414876,1.0443277
γ-Oryzanol,10,CFPAC-1,5.379873,1.8531482
5-Azacytidine,10,CHP-212,1.5984284,0.9549068
5-Fluorouracil,10,CHP-212,2.5462267,1.2658842
Abiraterone acetate,10,CHP-212,3.6608717,1.5392025
Acetazolamide,10,CHP-212,2.833272,1.3437188
Adagrasib,10,CHP-212,1.2167494,0.7960419
Allopurinol,10,CHP-212,1.8344487,1.0418475
Aprepitant,10,CHP-212,2.1130471,1.135602
Artemether,10,CHP-212,2.4054306,1.2253714
Asciminib,10,CHP-212,3.580146,1.5217309
Aspirin,10,CHP-212,1.1516017,0.7662125
Ataluren,10,CHP-212,1.4143538,0.8814317
Atazanavir (sulfate),10,CHP-212,3.110762,1.4136084
Auranofin,10,CHP-212,1.4698751,0.9041676
Belinostat,10,CHP-212,3.5798805,1.521673
Benztropine (mesylate),10,CHP-212,1.7605877,1.0154436
Bestatin (hydrochloride),10,CHP-212,6.030027,1.9501905
Bexarotene,10,CHP-212,3.489443,1.5017287
Bicalutamide,10,CHP-212,0.46516505,0.3819679
Binimetinib,10,CHP-212,2.6969583,1.3075104
Brimonidine,10,CHP-212,2.1172156,1.1369402
Budesonide,10,CHP-212,5.2382207,1.830695
Cabozantinib (S-malate),10,CHP-212,4.1647635,1.6418593
Canagliflozin (hemihydrate),10,CHP-212,2.8417835,1.3459368
Captopril,10,CHP-212,2.6820955,1.303482
Carbamazepine,10,CHP-212,1.3706782,0.8631761
Cinacalcet,10,CHP-212,1.9269356,1.073956
Citalopram (hydrobromide),10,CHP-212,3.5621994,1.5178049
Clobetasol propionate,10,CHP-212,6.705913,2.041988
Clopidogrel,10,CHP-212,2.297037,1.1930242
Crizotinib (hydrochloride),10,CHP-212,2.166181,1.1525261
Cyclosporin A,10,CHP-212,1.5189284,0.9238336
Dapagliflozin,10,CHP-212,1.0057052,0.69599575
Darolutamide,10,CHP-212,3.020415,1.3913852
Delamanid,10,CHP-212,3.4193819,1.4859998
Dexamethasone,10,CHP-212,1.1238283,0.75322026
Digitoxin,10,CHP-212,4.147238,1.6384602
Dihydroartemisinin,10,CHP-212,1.0729967,0.72899526
Drospirenone,10,CHP-212,0.7341214,0.55050087
Econazole,10,CHP-212,1.3562266,0.85706145
Entrectinib,10,CHP-212,2.4933593,1.2508638
Erythromycin,10,CHP-212,3.034267,1.3948246
Esmolol (hydrochloride),10,CHP-212,3.1273577,1.4176375
Estrone sulfate (potassium),10,CHP-212,2.8715892,1.3536651
Fedratinib (hydrochloride hydrate),10,CHP-212,1.5373292,0.93111205
Filgotinib,10,CHP-212,0.9154888,0.6499728
Fingolimod (hydrochloride),10,CHP-212,3.089878,1.4085152
