drug,median_log1p_edist,mean_log1p_edist,n_comparisons_edist
(R)-Verapamil (hydrochloride),2.355816823285531,2.201552428508483,192
(S)-Crizotinib,2.652297996819417,2.4669473876593373,143
18β-Glycyrrhetinic acid,2.112623459010985,2.0660046988842233,192
4EGI-1,2.265470967035163,2.239552827387531,141
5-Azacytidine,2.1698063797031306,2.08349857700857,142
5-Fluorouracil,2.0830316816772667,2.00752932692624,144
8-Hydroxyquinoline,1.842155856845152,1.8402392310202702,192
9-ING-41,3.5946955761114094,3.4461781311402295,143
APTO-253,2.519817744419737,2.4821888152228064,143
AT7519,1.799411777856792,1.8053134504304336,143
AZD-7648,3.1154041874214498,3.256162337328864,139
AZD-8055,2.5160694209600303,2.430099440580123,144
AZD1390,2.6519878468866565,2.60339068523566,142
AZD2858,2.2045411786014677,2.3667222595214175,136
Abemaciclib,3.369752861939654,3.287401237081339,144
Abiraterone acetate,1.7938006959077704,1.8027254502668508,144
Acetazolamide,2.168439070001736,2.068847489589745,143
Acetohexamide,2.114990567173192,2.106662166150319,190
Adagrasib,1.3325905268672942,1.3962552943800175,667
Adenine,1.9592580758247606,1.9336585290082888,191
Adenosine,1.7358547234589232,1.6273113998926176,191
Afatinib,1.9200719990701602,2.0672289774202084,334
Aliskiren,1.8380449354567143,1.7955703453046212,192
Allantoin,2.460922841985677,2.252787635556548,192
Allopurinol,2.103111169935863,2.1776772365948394,144
Almonertinib (hydrochloride),2.2167034921930586,2.183143292706553,192
Almonertinib (mesylate),2.53909231049537,2.330221754064111,191
Alpelisib,1.892143124482795,1.936564494176152,142
Altretamine,2.198481139575206,2.1502674163732487,142
Amsacrine,2.403228147482561,2.449175497031738,192
Anastrozole,1.6972688137062732,1.6279770154819013,144
Anethole trithione,2.4920752143138545,2.4210318424447514,192
Apalutamide,2.265292421187757,2.0732719854797876,141
Aprepitant,2.1711603427620694,2.260714390083975,143
Arbutin,1.1619601066058909,1.1353385435606385,141
Artemether,2.2544244958520245,2.2433148338326685,144
Artesunate,2.599161159305441,2.576908955577156,192
Asciminib,2.3539143327988827,2.4392384388402886,143
Aspirin,1.9428131784050642,1.8221380604110513,144
Ataluren,1.7411357639398335,1.6644066796438763,144
Atazanavir (sulfate),2.81882620301421,2.7952550788977946,144
Auranofin,3.002403189537219,3.285627947624315,143
Azithromycin (hydrate),2.3227671273808026,2.272283438942681,192
BAY1125976,4.100104870303891,3.5810643388542513,144
BI-3406,2.5117844958876456,2.4966058599136987,144
BI-78D3,3.116638273571496,3.2067188539144,143
Baicalin,2.0784166151254855,1.8862897874877655,192
Balsalazide (sodium hydrate),2.0192366091624177,1.9422426402399156,191
Belinostat,3.222552397849136,3.493783694327608,142
Belumosudil,2.1067488884737617,2.1409713722854264,190
Belumosudil (mesylate),2.5686551097262815,2.481539411509935,144
Belzutifan,2.8745642133648874,2.961610392918581,103
Bendamustine,1.4659941422317322,1.4679314335436038,143
Benproperine (phosphate),2.598653779292589,2.500838928278136,142
Bentamapimod,3.4286231406626753,3.1236089818809036,143
Benztropine (mesylate),1.9553617377886836,1.8471905120803287,144
Berbamine,2.614169242648893,2.4092426473637483,240
Berbamine (dihydrochloride),1.744971096130909,1.8772836824406811,191
Berberine (chloride hydrate),2.0421077852608978,1.9146556704786712,192
Bergenin,1.9272591843057567,1.815922412315843,192
Bestatin,2.145329867052607,2.1488876222902635,142
Bestatin (hydrochloride),2.1051384772100326,2.0003273900422616,143
Betamethasone dipropionate,2.2396235408795975,2.211850144358297,141
Bexarotene,2.2017089228868167,2.176262118843491,144
Bicalutamide,1.4940511027428536,1.4675578113668055,144
Bimatoprost,2.2925050499969784,2.3543882023171405,192
Bimiralisib,4.282283369404625,3.9391280795436083,143
Binimetinib,2.7157478807946736,2.7827776079353352,285
Bisoprolol (hemifumarate),2.0364191033015233,2.029009067606511,141
Bortezomib,4.625430532698922,4.630035861787543,137
Bosentan (hydrate),2.5021531925437723,2.505594147683695,141
Brimonidine,2.1506670936081833,2.0666311415144625,143
Brivudine,3.7610237219005427,3.3452052287561598,144
Budesonide,2.786745124836988,2.7877983396465575,144
Busulfan,2.38001707796607,2.3312446747979814,192
CP21R7,2.1964436747815865,2.3487626890433853,140
Cabozantinib (S-malate),1.9430078203032566,1.914049263820508,142
Canagliflozin,2.7303340698408545,2.676329928621275,141
Canagliflozin (hemihydrate),2.294842460457335,2.2244483999107145,140
Capivasertib,2.2491969726893175,2.1082792229464062,141
Capmatinib,2.476429400961095,2.4771030029699705,141
Captopril,1.803242011289673,1.648410218608422,189
Carbamazepine,2.344423437444468,2.18296289436515,141
Carbidopa (monohydrate),0.9340402896955331,0.9538958465164223,48
Celecoxib,2.439259151984454,2.7621866923179863,142
Cepharanthine,1.6193942033588218,1.6023360394124186,190
Chlorhexidine (diacetate),1.9145577905214153,2.0348276651503148,240
Ciclopirox,2.0051746596430506,2.1453681088249286,192
Cilostazol,2.7023926633942104,2.589497076219321,143
Cinacalcet,1.4878402497527279,1.5177356848582824,143
Citalopram (hydrobromide),1.6310153448285618,1.5392054149402696,142
Clobetasol propionate,2.4717758171724955,2.353745941928164,141
Clofarabine,2.486252659063462,2.3694068425946115,142
Clonidine (hydrochloride),2.207073547810361,2.117125766389242,192
Clopidogrel,2.536416105961736,2.3296572446175694,144
Clotrimazole,2.033052342737937,2.0027848684898255,192
Cloxacillin (sodium),1.9291994728002841,1.8944400703098772,192
Cobimetinib,2.587975043181584,2.6020999128953624,141
Crizotinib (hydrochloride),2.2837790007520944,2.0948261127883723,143
Cyclosporin A,2.0314234734758596,2.0200208061393883,142
Cysteamine (hydrochloride),1.5235929258835932,1.4281419944414138,191
Cytarabine,2.326696725803137,2.3482925293073915,190
Cytarabine (hydrochloride),2.3734682992410607,2.360798789389769,141
DT-061,2.530151079216081,2.5676477369271202,140
DTP3,2.5422323713550155,2.5076398342760804,143
Dabrafenib,3.1027706203415857,3.1221473788772296,144
Daidzin,1.7721708877672144,1.9365053694991694,192
Dapagliflozin,1.2662836576128154,1.1448348467396694,141
"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",2.333830080882514,2.3525963700154344,140
Daptomycin,2.27804846880431,2.3839805609665445,48
Darinaparsin,2.224417388608633,2.2279856084744862,189
Darolutamide,2.8245768160552163,2.5014925624256517,144
Decitabine,3.332166357307152,3.002963260152951,141
Delamanid,1.8085950362324126,1.688289115547678,143
Demeclocycline,1.7425254682842448,1.64808548002911,191
Dexamethasone,2.335268157965637,2.3224491487952914,142
Dexmedetomidine,1.9345613131542307,1.9384209639030017,142
Diammonium Glycyrrhizinate,2.29507256955204,2.2063974073707633,192
Digitoxin,4.42538345405656,4.30881256924552,142
Dihydroartemisinin,1.6862478977231763,1.7449221493293723,143
Dimethyl fumarate,1.6907206633635194,1.7889230553760036,143
Dinaciclib,5.763222420075023,5.692804630285199,126
Diphenhydramine,3.2374423020336796,2.9217066785221255,144
Docetaxel,2.4707206867602904,2.7380579992492007,189
Docetaxel (Trihydrate),3.086890936865954,2.638731914651184,142
Dorzolamide (hydrochloride),2.6313606072372333,2.5122042599912713,143
Doxorubicin (hydrochloride),2.4082488333294103,2.701546322349414,142
Doxycycline (monohydrate),2.2358860327140024,2.1616320235658515,141
Drospirenone,1.5398081711980036,1.4911539064383272,143
ERK5-IN-2,3.723277196070832,3.5610669452186605,143
ETC-206,1.6581306743874928,1.6993934097577916,144
EX229,3.7489080522155915,3.5850931996166753,142
Econazole,2.158600795045653,2.100190448116416,144
Edoxaban (tosylate monohydrate),1.4992043114317755,1.490492956985425,48
Elagolix sodium,2.1595788097349216,2.0281366886726095,190
Elimusertib hydrochloride,3.027851321143255,2.9489459804163554,139
Encorafenib,3.0651051372530893,2.875158079750324,96
Entecavir (monohydrate),2.3818168241748654,2.417036109416356,143
Entrectinib,2.619331104519322,2.494323445003763,142
Epirubicin (hydrochloride),2.4922829646856304,2.6989391869631216,141
Eplerenone,1.461738573247731,1.4338711565494502,142
Erdafitinib ,2.0468976544530992,2.0345410950921035,96
Erlotinib,2.7773916371228817,2.7627800107383207,143
Erythromycin,2.0079167660534094,1.8935616605118268,144
Esmolol (hydrochloride),1.9808541529294663,1.9436714846036236,143
Estrone sulfate (potassium),2.549349128193737,2.4398228913104747,142
Everolimus,2.310233139112426,2.2728732568365717,144
Fedratinib (hydrochloride hydrate),2.665679100727349,2.3939228701978257,144
Fenofibrate,2.4942615811096087,2.2057080356222594,143
Ferulic acid,2.4722949147333635,2.4759733556254457,141
Filgotinib,1.705197600600263,1.6276574733034184,144
Finasteride,2.3375781616069005,2.435719663210837,141
Fingolimod (hydrochloride),1.975100785664928,2.1410478330838347,143
Flumatinib (mesylate),2.315239301582032,2.2246325776352514,190
Flutamide,2.3232827985396156,2.205341776659636,142
