drug,median_log1p_edist,mean_log1p_edist,n_comparisons_edist,median_log1p_mag,moa
Dexmedetomidine,1.9345613131542307,1.9384209639030017,142,0.93399537,Adrenoceptor agonist
Diammonium Glycyrrhizinate,2.29507256955204,2.2063974073707633,192,1.3112869,unclear
Digitoxin,4.42538345405656,4.30881256924552,142,1.889735,unclear
Dihydroartemisinin,1.6862478977231763,1.7449221493293723,143,0.94949013,unclear
Dimethyl fumarate,1.6907206633635194,1.7889230553760036,143,1.4259306,unclear
Dinaciclib,5.763222420075023,5.692804630285199,126,3.2583525,CDK inhibitor
Diphenhydramine,3.2374423020336796,2.9217066785221255,144,2.0841303,unclear
Docetaxel,2.4707206867602904,2.7380579992492007,189,1.8611519,Microtubule inhibitor
Docetaxel (Trihydrate),3.086890936865954,2.638731914651184,142,1.1363015,Microtubule inhibitor
Dorzolamide (hydrochloride),2.6313606072372333,2.5122042599912713,143,1.2673775,unclear
Doxorubicin (hydrochloride),2.4082488333294103,2.701546322349414,142,1.3456793,DNA synthesis/repair inhibitor
Doxycycline (monohydrate),2.2358860327140024,2.1616320235658515,141,1.5836402,unclear
Drospirenone,1.5398081711980036,1.4911539064383272,143,1.0718269,unclear
ERK5-IN-2,3.723277196070832,3.5610669452186605,143,1.626409,Other MAPK inhibitor
ETC-206,1.6581306743874928,1.6993934097577916,144,1.0606878,Protein synthesis inhibitor
EX229,3.7489080522155915,3.5850931996166753,142,1.9684297,unclear
Econazole,2.158600795045653,2.100190448116416,144,1.148891,unclear
Edoxaban (tosylate monohydrate),1.4992043114317755,1.490492956985425,48,1.3841918,unclear
Elagolix sodium,2.1595788097349216,2.0281366886726095,190,1.3736174,unclear
Elimusertib hydrochloride,3.027851321143255,2.9489459804163554,139,1.9392359,unclear
Encorafenib,3.0651051372530893,2.875158079750324,96,1.327418,RAF inhibitor
Entecavir (monohydrate),2.3818168241748654,2.417036109416356,143,1.2824363,unclear
Entrectinib,2.619331104519322,2.494323445003763,142,1.1918231,Other TK inhibitor
Epirubicin (hydrochloride),2.4922829646856304,2.6989391869631216,141,1.3539732,DNA synthesis/repair inhibitor
Eplerenone,1.461738573247731,1.4338711565494502,142,1.1921759,unclear
Erlotinib,2.7773916371228817,2.7627800107383207,143,1.2212456,EGFR/ERBB inhibitor
Erythromycin,2.0079167660534094,1.8935616605118268,144,1.4260399,unclear
Esmolol (hydrochloride),1.9808541529294663,1.9436714846036236,143,1.0588845,unclear
