drug,median_log1p_edist,mean_log1p_edist,n_comparisons_edist,median_log1p_mag,moa
Tubulin inhibitor 6,1.8916514390803763,1.850623169346904,143,0.9142682,Microtubule inhibitor
Tucatinib,2.1678896778191596,2.0772431082697684,144,1.0255494,EGFR/ERBB inhibitor
Tucidinostat,2.947776500636927,2.949662670672892,192,2.2200513,HDAC inhibitor
ULK-101,2.6127957543716134,2.8789753239443456,141,1.5330036,unclear
Uridine,1.4689514196185813,1.3938384519333302,144,0.85137814,unclear
Valdecoxib,1.466220456913005,1.415289618244746,140,0.93271804,Cyclooxygenase inhibitor
Vandetanib,2.537795236132929,2.564999529648468,143,1.5894737,Multi-TK inhibitor
Vemurafenib,2.6470728814726927,2.6767822354993767,144,1.494941,RAF inhibitor
Verapamil,1.9202343181106891,2.0530056203516653,142,1.6343857,unclear
Verteporfin,2.6614623564213478,2.7360919793971887,143,1.5565318,unclear
Vilanterol,2.61961107120972,2.4020456839852034,190,1.3193163,Adrenoceptor agonist
Vinblastine (sulfate),3.1206502021655136,3.120372451526358,191,1.6855146,Microtubule inhibitor
Vismodegib,1.6121580407966511,1.4515115721653822,141,0.96304923,Sonic inhibitor
Vitamin K4,1.9817975972088928,1.9559628815948997,144,1.5897357,unclear
Volasertib,2.0826556507411977,2.0363695095088654,142,1.139858,unclear
Voriconazole,1.8527435570293063,1.7461027384479313,143,0.831107,unclear
Vortioxetine,2.255171470754879,2.2385926120829653,143,1.1174834,unclear
XRK3F2,3.791954158639756,3.3957616266795667,141,1.8119434,unclear
Zileuton,1.6964016063939167,1.780602794348557,143,0.8573918,unclear
c-Kit-IN-1,3.185100106625787,3.3157732614353552,142,1.567718,Multi-TK inhibitor
crizotinib,2.4714174859568967,2.546768424740586,143,1.592751,Multi-TK inhibitor
olaparib,2.6129548619440257,2.602723105267774,144,1.789683,DNA synthesis/repair inhibitor
palbociclib,2.689831848823384,2.682713305854986,140,1.7222613,CDK inhibitor
venetoclax,2.9707720819314596,3.09379727231009,143,1.9622146,unclear
vincristine,3.6220091526758047,3.38523216799098,140,1.6171962,Microtubule inhibitor
γ-Oryzanol,1.5750996898401517,1.4088526665544114,143,1.044447,DNA methyltransferase inhibitor
